vacancy_name,area_name,salary_from,salary_to,url,experience
Аналитик СМИ и соцмедиа,Москва,35000,,https://hh.ru/vacancy/82733066,noExperience
Помощник аналитика,Москва,70000,,https://hh.ru/vacancy/84573639,between1And3
Младший маркетолог-аналитик,Москва,66000,76000,https://hh.ru/vacancy/85061311,between1And3
Специалист аналитического отдела,Волгоград,40000,50000,https://hh.ru/vacancy/79865751,between1And3
Аналитик упоминаний в соцсетях,Челябинск,39000,,https://hh.ru/vacancy/80125732,noExperience
Аналитик,Красноярск,40000,45000,https://hh.ru/vacancy/83916272,noExperience
Бизнес-аналитик (Начинающий специалист),Симферополь,45000,,https://hh.ru/vacancy/85017578,noExperience
Аналитик отдела по работе с партнерами,Рязань,60000,90000,https://hh.ru/vacancy/85038769,between3And6
Помощник руководителя/Специалист-аналитик,Москва,,80000,https://hh.ru/vacancy/84323494,between1And3
Системный/бизнес аналитик,Нижний Новгород,90000,,https://hh.ru/vacancy/84624983,between1And3
Аналитик упоминаний в соцсетях,Ростов-на-Дону,39000,,https://hh.ru/vacancy/80125735,noExperience
Аналитик 1С (внедрение),Ижевск,80000,200000,https://hh.ru/vacancy/83436567,between3And6
Начинающий аналитик,Барнаул,40000,45000,https://hh.ru/vacancy/83674577,noExperience
Помощник маркетолога-аналитика на маркетплейсах,Москва,50000,100000,https://hh.ru/vacancy/83829662,between1And3
Кредитный аналитик (верификатор),Орел,46000,46000,https://hh.ru/vacancy/85168708,between1And3
Главный специалист по сопровождению промо,Краснодар,52500,75000,https://hh.ru/vacancy/85020517,between1And3
Аналитик упоминаний в соцсетях,Саратов,39000,,https://hh.ru/vacancy/82145240,noExperience
Аналитик-программист,Улан-Удэ,100000,,https://hh.ru/vacancy/85387647,between3And6
Аналитик,Нижний Новгород,50000,,https://hh.ru/vacancy/82282710,between1And3
"Senior Data Analyst (Product, marketing)",Москва,300000,400000,https://hh.ru/vacancy/85023742,between3And6
Маркетолог-аналитик,Москва,120000,,https://hh.ru/vacancy/85323620,between3And6
Младший специалист по аналитике,Новосибирск,48700,58900,https://hh.ru/vacancy/82508007,noExperience
Аналитик отдела продаж,Москва,150000,,https://hh.ru/vacancy/83238108,between3And6
Аналитик ИТ продуктов,Киров (Кировская область),60000,,https://hh.ru/vacancy/85161409,noExperience
Аналитик,Новосибирск,60000,,https://hh.ru/vacancy/85279940,between1And3
Аналитик (Специалист МФЦ),Нижний Новгород,30000,,https://hh.ru/vacancy/84905075,between1And3
Менеджер по работе с маркетплейсами,Смоленск,21000,45000,https://hh.ru/vacancy/85304417,noExperience
Специалист-аналитик,Белгород,30000,50000,https://hh.ru/vacancy/83917330,noExperience
Аналитик отдела закупа,Омск,40000,,https://hh.ru/vacancy/85392786,between1And3
Старший аналитик,Москва,145000,,https://hh.ru/vacancy/84945228,between1And3
Младший CRM-аналитик,Санкт-Петербург,20000,35000,https://hh.ru/vacancy/85272240,noExperience
